[2026-09-17 21:50:11] network_view:122 Initialized network view at /home/nate/code/fly-afterlife/flyvis_data/results/flow/0000/000
[2026-09-17 21:50:11] logging_utils:23 epe not in /home/nate/code/fly-afterlife/flyvis_data/results/flow/0000/000/validation, but 'loss' is. Falling back to 'loss'. You can rerun the ensemble validation to make appropriate recordings of the losses.
[2026-09-17 21:50:21] network:222 Initialized network with NumberOfParams(free=734, fixed=2959) parameters.
[2026-09-17 21:50:21] chkpt_utils:36 Recovered network state.
T4T5_T4a_L                  742 cells  Scaled     seam v2: rate = GAIN x clip((act - rest) / A_REF, 0, 1); 150 Hz is Shiu's Poisson default, not a measurement
T4T5_T4b_L                  757 cells  Scaled     seam v2: rate = GAIN x clip((act - rest) / A_REF, 0, 1); 150 Hz is Shiu's Poisson default, not a measurement
T4T5_T4c_L                  796 cells  Scaled     seam v2: rate = GAIN x clip((act - rest) / A_REF, 0, 1); 150 Hz is Shiu's Poisson default, not a measurement
T4T5_T4d_L                  766 cells  Scaled     seam v2: rate = GAIN x clip((act - rest) / A_REF, 0, 1); 150 Hz is Shiu's Poisson default, not a measurement
T4T5_T5a_L                  726 cells  Scaled     seam v2: rate = GAIN x clip((act - rest) / A_REF, 0, 1); 150 Hz is Shiu's Poisson default, not a measurement
T4T5_T5b_L                  774 cells  Scaled     seam v2: rate = GAIN x clip((act - rest) / A_REF, 0, 1); 150 Hz is Shiu's Poisson default, not a measurement
T4T5_T5c_L                  781 cells  Scaled     seam v2: rate = GAIN x clip((act - rest) / A_REF, 0, 1); 150 Hz is Shiu's Poisson default, not a measurement
T4T5_T5d_L                  744 cells  Scaled     seam v2: rate = GAIN x clip((act - rest) / A_REF, 0, 1); 150 Hz is Shiu's Poisson default, not a measurement
T4T5_T4a_R                  750 cells  Scaled     seam v2: rate = GAIN x clip((act - rest) / A_REF, 0, 1); 150 Hz is Shiu's Poisson default, not a measurement
T4T5_T4b_R                  758 cells  Scaled     seam v2: rate = GAIN x clip((act - rest) / A_REF, 0, 1); 150 Hz is Shiu's Poisson default, not a measurement
T4T5_T4c_R                  780 cells  Scaled     seam v2: rate = GAIN x clip((act - rest) / A_REF, 0, 1); 150 Hz is Shiu's Poisson default, not a measurement
T4T5_T4d_R                  765 cells  Scaled     seam v2: rate = GAIN x clip((act - rest) / A_REF, 0, 1); 150 Hz is Shiu's Poisson default, not a measurement
T4T5_T5a_R                  734 cells  Scaled     seam v2: rate = GAIN x clip((act - rest) / A_REF, 0, 1); 150 Hz is Shiu's Poisson default, not a measurement
T4T5_T5b_R                  754 cells  Scaled     seam v2: rate = GAIN x clip((act - rest) / A_REF, 0, 1); 150 Hz is Shiu's Poisson default, not a measurement
T4T5_T5c_R                  773 cells  Scaled     seam v2: rate = GAIN x clip((act - rest) / A_REF, 0, 1); 150 Hz is Shiu's Poisson default, not a measurement
T4T5_T5d_R                  729 cells  Scaled     seam v2: rate = GAIN x clip((act - rest) / A_REF, 0, 1); 150 Hz is Shiu's Poisson default, not a measurement
bristle_L                  1224 cells  Adapting   mechanosensation brief 2026-09-16: Corfas & Dudai 1990 (J Neurosci 10:491); direction gating as a rate fraction; step-locked re-deflection is a labelled choice (2026-09-17)
bristle_R                  1279 cells  Adapting   mechanosensation brief 2026-09-16: Corfas & Dudai 1990 (J Neurosci 10:491); direction gating as a rate fraction; step-locked re-deflection is a labelled choice (2026-09-17)
ppk_F                       108 cells  TapBurst   chemo brief: contact GRN ceiling ~60 Hz (Weiss 2011), a single tap is a complete trigger (Kohatsu 2011)
ppk_M                       108 cells  TapBurst   chemo brief: contact GRN ceiling ~60 Hz (Weiss 2011), a single tap is a complete trigger (Kohatsu 2011)
walk_DNp09                    2 cells  Hold       pair.py 2026-09-16: 150 Hz while touched (uncalibrated; mechanosensation brief says onset burst + plateau)
his readouts: pC1 156, pIP10 2, mAL 159, LC10a 275, ORN_VA1v 15/73
his DNa02 rest offset +0.00/chunk
pace baselines per chunk: his leg MN 0, her DN 0
touch reflex: leg-MN asymmetry (R-L)/(R+L) with left bristles -0.089, right +0.026 -> gain 104 deg per unit asymmetry
t=  5.0s  him (-1.02,+0.02)   +410  her (+1.20,+0.30)  dist  inf  pC1 0 pIP10 0 LC10a 0 | her pC1 - vpoEN - | contacts 0 songs 0 | pace him 0.42 her 0.15 m/s  (18s)
t= 10.0s  him (-1.06,-0.03)   +640  her (+1.20,+0.30)  dist  inf  pC1 0 pIP10 0 LC10a 0 | her pC1 - vpoEN - | contacts 0 songs 0 | pace him 0.25 her 0.15 m/s  (30s)
t= 15.0s  him (-0.95,+0.29)   +919  her (+1.20,+0.30)  dist  inf  pC1 0 pIP10 0 LC10a 0 | her pC1 - vpoEN - | contacts 0 songs 0 | pace him 0.22 her 0.15 m/s  (46s)
t= 20.0s  him (-0.55,+0.31)  +1162  her (+1.20,+0.30)  dist  inf  pC1 0 pIP10 0 LC10a 0 | her pC1 - vpoEN - | contacts 0 songs 0 | pace him 0.05 her 0.15 m/s  (62s)
t= 25.0s  him (-0.64,+0.62)  +1470  her (+1.20,+0.30)  dist  inf  pC1 0 pIP10 0 LC10a 0 | her pC1 - vpoEN - | contacts 0 songs 0 | pace him 0.14 her 0.15 m/s  (75s)
t= 30.0s  him (-0.98,+1.34)  +1672  her (+1.20,+0.30)  dist  inf  pC1 0 pIP10 0 LC10a 0 | her pC1 - vpoEN - | contacts 0 songs 0 | pace him 0.50 her 0.15 m/s  (91s)
t= 35.0s  him (-0.13,+1.19)  +1783  her (+1.20,+0.30)  dist  inf  pC1 7 pIP10 0 LC10a 0 | her pC1 - vpoEN - | contacts 0 songs 0 | pace him 0.46 her 0.15 m/s  (106s)
t= 40.0s  him (+0.28,+1.92)  +1909  her (+1.20,+0.30)  dist  inf  pC1 9 pIP10 0 LC10a 0 | her pC1 - vpoEN - | contacts 0 songs 0 | pace him 0.48 her 0.15 m/s  (118s)
t= 45.0s  him (+1.35,+1.91)  +1803  her (+1.20,+0.30)  dist  inf  pC1 17 pIP10 0 LC10a 0 | her pC1 - vpoEN - | contacts 0 songs 0 | pace him 0.47 her 0.15 m/s  (134s)
t= 50.0s  him (+1.92,+1.08)  +1709  her (+1.20,+0.30)  dist  inf  pC1 18 pIP10 0 LC10a 0 | her pC1 - vpoEN - | contacts 0 songs 0 | pace him 0.10 her 0.15 m/s  (150s)
t= 55.0s  him (+1.84,-0.16)  +1714  her (+1.20,+0.30)  dist  inf  pC1 14 pIP10 0 LC10a 0 | her pC1 - vpoEN - | contacts 0 songs 0 | pace him 0.44 her 0.15 m/s  (161s)
t= 60.0s  him (+1.91,-1.43)  +1731  her (+1.20,+0.30)  dist  inf  pC1 6 pIP10 0 LC10a 0 | her pC1 - vpoEN - | contacts 0 songs 0 | pace him 0.17 her 0.15 m/s  (178s)
t= 65.0s  him (+1.13,-1.91)  +1604  her (+1.20,+0.30)  dist  inf  pC1 12 pIP10 0 LC10a 0 | her pC1 - vpoEN - | contacts 0 songs 0 | pace him 0.17 her 0.15 m/s  (189s)
t= 70.0s  him (+0.43,-1.62)  +1539  her (+1.20,+0.30)  dist  inf  pC1 19 pIP10 0 LC10a 0 | her pC1 - vpoEN - | contacts 0 songs 0 | pace him 0.15 her 0.15 m/s  (205s)
t= 75.0s  him (-0.40,-1.42)  +1680  her (+1.20,+0.30)  dist  inf  pC1 4 pIP10 0 LC10a 0 | her pC1 - vpoEN - | contacts 0 songs 0 | pace him 0.29 her 0.15 m/s  (218s)
t= 80.0s  him (-0.84,-1.78)  +1569  her (+1.20,+0.30)  dist  inf  pC1 16 pIP10 0 LC10a 0 | her pC1 - vpoEN - | contacts 0 songs 0 | pace him 0.13 her 0.15 m/s  (232s)
t= 85.0s  him (-1.92,-1.80)  +1557  her (+1.20,+0.30)  dist  inf  pC1 13 pIP10 0 LC10a 0 | her pC1 - vpoEN - | contacts 0 songs 0 | pace him 0.33 her 0.15 m/s  (248s)
t= 90.0s  him (-1.92,-0.45)  +1519  her (+1.20,+0.30)  dist  inf  pC1 15 pIP10 0 LC10a 0 | her pC1 - vpoEN - | contacts 0 songs 0 | pace him 0.42 her 0.15 m/s  (262s)
t= 95.0s  him (-1.92,+0.77)  +1538  her (+1.20,+0.30)  dist  inf  pC1 8 pIP10 0 LC10a 0 | her pC1 - vpoEN - | contacts 0 songs 0 | pace him 0.08 her 0.15 m/s  (275s)
t=100.0s  him (-1.62,+1.91)  +1443  her (+1.20,+0.30)  dist  inf  pC1 10 pIP10 0 LC10a 0 | her pC1 - vpoEN - | contacts 0 songs 0 | pace him 0.25 her 0.15 m/s  (291s)
t=105.0s  him (-0.36,+1.92)  +1450  her (+1.20,+0.30)  dist  inf  pC1 9 pIP10 0 LC10a 0 | her pC1 - vpoEN - | contacts 0 songs 0 | pace him 0.25 her 0.15 m/s  (305s)
t=110.0s  him (-0.03,+1.16)  +1449  her (+1.20,+0.30)  dist  inf  pC1 15 pIP10 0 LC10a 0 | her pC1 - vpoEN - | contacts 0 songs 0 | pace him 0.32 her 0.15 m/s  (318s)
t=115.0s  him (+0.37,+1.92)  +1466  her (+1.20,+0.30)  dist  inf  pC1 12 pIP10 0 LC10a 0 | her pC1 - vpoEN - | contacts 0 songs 0 | pace him 0.36 her 0.15 m/s  (334s)
t=120.0s  him (+1.66,+1.92)  +1432  her (+1.20,+0.30)  dist  inf  pC1 12 pIP10 0 LC10a 0 | her pC1 - vpoEN - | contacts 0 songs 0 | pace him 0.38 her 0.15 m/s  (348s)
wrote world/walk/solo_s11.npz contacts 0, song chunks 0, mean dist inf
