[2026-09-17 05:43:00] network_view:122 Initialized network view at /home/nate/code/fly-afterlife/flyvis_data/results/flow/0000/000
[2026-09-17 05:43:00] logging_utils:23 epe not in /home/nate/code/fly-afterlife/flyvis_data/results/flow/0000/000/validation, but 'loss' is. Falling back to 'loss'. You can rerun the ensemble validation to make appropriate recordings of the losses.
[2026-09-17 05:43:10] network:222 Initialized network with NumberOfParams(free=734, fixed=2959) parameters.
[2026-09-17 05:43:10] chkpt_utils:36 Recovered network state.
her readouts: pC1 10, vpoEN 4, ORN_DA1 126, JO 1104, DNa02 1/1
his readouts: pC1 156, pIP10 2, mAL 159, LC10a 275, ORN_VA1v 15/73
his DNa02 rest offset +0.00/chunk
pace baselines per chunk: his leg MN 374, her DN 26
touch reflex: leg-MN asymmetry (R-L)/(R+L) with left bristles -0.099, right +0.050 -> gain 80 deg per unit asymmetry
t=  5.0s  him (-0.63,-0.04)    -20  her (+0.45,+0.30)  dist 1.14  pC1 0 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.11 her 0.15 m/s  (11s)
t= 10.0s  him (-0.56,-0.76)   -114  her (-0.22,+0.01)  dist 0.84  pC1 0 pIP10 2 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.15 her 0.15 m/s  (28s)
t= 15.0s  him (-0.70,-1.46)   -120  her (-0.50,-0.67)  dist 0.82  pC1 1 pIP10 1 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.15 her 0.15 m/s  (44s)
t= 20.0s  him (-1.32,-1.92)   -163  her (-0.30,-1.37)  dist 1.16  pC1 100 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.22 her 0.15 m/s  (57s)
t= 25.0s  him (-1.92,-0.96)   -271  her (+0.17,-1.88)  dist 2.28  pC1 414 pIP10 0 LC10a 0 | her pC1 13 vpoEN 0 | contacts 0 songs 0 | pace him 0.43 her 0.15 m/s  (74s)
t= 30.0s  him (-1.46,-0.42)   -333  her (+0.89,-1.70)  dist 2.68  pC1 3 pIP10 2 LC10a 0 | her pC1 1 vpoEN 0 | contacts 0 songs 0 | pace him 0.15 her 0.15 m/s  (90s)
t= 35.0s  him (-0.93,-0.37)   -446  her (+1.62,-1.56)  dist 2.82  pC1 0 pIP10 1 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.12 her 0.15 m/s  (106s)
t= 40.0s  him (-0.80,-1.09)   -470  her (+1.83,-1.09)  dist 2.63  pC1 0 pIP10 5 LC10a 0 | her pC1 28 vpoEN 0 | contacts 0 songs 0 | pace him 0.15 her 0.15 m/s  (122s)
t= 45.0s  him (-1.18,-1.70)   -531  her (+1.45,-0.46)  dist 2.91  pC1 0 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.15 her 0.15 m/s  (137s)
t= 50.0s  him (-0.84,-1.88)   -350  her (+1.06,+0.18)  dist 2.80  pC1 10 pIP10 3 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.19 her 0.15 m/s  (155s)
t= 55.0s  him (-0.29,-1.92)   -448  her (+0.57,+0.75)  dist 2.80  pC1 187 pIP10 3 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.31 her 0.15 m/s  (172s)
t= 60.0s  him (-1.75,-1.92)   -541  her (+0.19,+1.39)  dist 3.84  pC1 327 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.39 her 0.15 m/s  (187s)
t= 65.0s  him (-1.91,-0.74)   -647  her (-0.44,+1.78)  dist 2.92  pC1 402 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.42 her 0.15 m/s  (205s)
t= 70.0s  him (-1.26,-0.28)   -687  her (-1.16,+1.80)  dist 2.09  pC1 0 pIP10 3 LC10a 0 | her pC1 13 vpoEN 0 | contacts 0 songs 0 | pace him 0.16 her 0.15 m/s  (219s)
t= 75.0s  him (-0.72,-0.21)   -719  her (-1.88,+1.71)  dist 2.24  pC1 0 pIP10 1 LC10a 0 | her pC1 4 vpoEN 0 | contacts 0 songs 0 | pace him 0.11 her 0.15 m/s  (237s)
t= 80.0s  him (-0.36,-0.62)   -808  her (-1.61,+1.09)  dist 2.12  pC1 0 pIP10 1 LC10a 0 | her pC1 26 vpoEN 0 | contacts 0 songs 0 | pace him 0.15 her 0.15 m/s  (251s)
t= 85.0s  him (-0.45,-1.37)   -842  her (-1.06,+0.59)  dist 2.05  pC1 12 pIP10 1 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.16 her 0.15 m/s  (268s)
