type,bodyId,hemilineage,side,nt,sign,from_legs,to_legs,interleg_syn,leg_out_syn,mn_direct_syn,total_out_syn,frac_interleg,contra_syn,ipsi_syn,diag_syn,top_pairs,class
IN12B002,903561,12B,R,gaba,-1,lm|rm|rh,lh|lm|lf,5952.3,7284.0,17.0,14289,0.417,1065.9,2674.6,2211.8,lm->lh lm->lf,both
IN07B002,800085,07B,L,acetylcholine,1,lf|rf|rh,rh|lm|rm|lh,5763.5,6837.0,1191.0,8251,0.699,1005.4,2349.4,2408.7,,both
IN12A001,800073,12A,R,acetylcholine,1,lf|lm,rm|rf|rh,5731.8,6539.0,1575.0,7981,0.718,1452.3,1430.3,2849.2,lf->rm lf->rf lf->rh,both
IN12B002,800030,12B,L,gaba,-1,lm|rh|rm,rh|rm,5608.7,6602.0,6.0,12278,0.457,1205.7,2075.2,2327.8,lm->rh lm->rm,both
IN12A001,800147,12A,L,acetylcholine,1,lf|lm|rf,lf|lm|lh,5375.2,6983.0,1681.0,8682,0.619,847.9,2848.0,1679.3,lf->lm lm->lf,both
IN07B002,800247,07B,R,acetylcholine,1,lf|lh,rh|lm|lh|rm,5305.1,6230.0,1234.0,7734,0.686,871.9,2222.2,2211.0,lf->rh,both
IN07B001,800053,07B,R,acetylcholine,1,rm|rf,lm|lh|rh,5254.8,6021.0,160.0,9394,0.559,1097.7,1885.1,2272.0,rm->lm rm->lh,both
IN27X001,800041,27X,R,gaba,-1,lf|rf,lm|lh|lf,5139.1,5854.0,22.0,10420,0.493,769.2,2208.2,2161.7,lf->lm lf->lh rf->lm,both
IN06B001,800062,06B,L,gaba,-1,lf|lm|rf,lm|rm|rh,5039.6,6054.0,0.0,9395,0.536,937.0,2053.7,2048.9,lf->lm,both
IN07B001,800051,07B,L,acetylcholine,1,lm|lf,rh|rm|lh,4823.7,5528.0,124.0,9252,0.521,900.7,1779.8,2143.2,lm->rh lm->rm,both
IN07B002,800171,07B,L,acetylcholine,1,rm|rh|lm,lm|rh|lh|lf|rm,4651.1,5759.0,887.0,6858,0.678,1067.8,1705.1,1878.2,,both
IN19A006,800174,19A,L,acetylcholine,1,lf,lm,4582.1,5135.0,46.0,5830,0.786,4.1,4510.9,67.1,lf->lm,ipsilateral
IN00A002,801755,00A,M,gaba,-1,rh|lh|rm,lm|lh|rh|rm,4403.9,5492.0,281.0,6513,0.676,1119.3,1657.8,1626.8,rh->lm,both
IN07B002,803210,07B,R,acetylcholine,1,lm|lh|rm,rh|lm|rm|lh|lf,4385.0,5468.0,932.0,6567,0.668,993.9,1794.7,1596.3,lm->rh,both
IN19B010,904022,19B,R,acetylcholine,1,rf,lh|lf|lm,4321.3,4356.0,306.0,6005,0.72,1074.8,176.2,3070.3,rf->lh rf->lf rf->lm,both
IN19A006,800531,19A,L,acetylcholine,1,lm,lh,4310.8,4746.0,31.0,5630,0.766,1.5,4259.8,49.5,lm->lh,ipsilateral
IN01A002,911967,01A,L,acetylcholine,1,lf,lh|rh|rm|lm,4144.3,4306.0,131.0,5168,0.802,519.6,1856.8,1768.0,lf->lh lf->rh lf->rm,both
IN19A006,804444,19A,R,acetylcholine,1,rm,rh,4016.6,4654.0,19.0,5076,0.791,5.0,3963.6,48.0,rm->rh,ipsilateral
IN12B002,800077,12B,L,gaba,-1,lm|rm|rh,rh|rm,3974.4,5105.0,289.0,9804,0.405,928.7,1817.7,1228.1,lm->rh rm->rh lm->rm,both
IN01A002,802438,01A,R,acetylcholine,1,rf|rm,rh|lh|lm|rm,3959.1,4275.0,131.0,5169,0.766,615.7,1599.6,1743.8,rf->rh rf->lh rf->lm,both
IN19B010,800022,19B,L,acetylcholine,1,lf|lm,rh|rm|rf,3950.1,4021.0,527.0,5176,0.763,838.2,167.4,2944.5,lf->rh lf->rm lm->rh,both
IN19A006,82663,19A,R,acetylcholine,1,rf,rm,3768.8,4157.0,28.0,4676,0.806,2.2,3722.0,44.5,rf->rm,ipsilateral
IN02A003,800844,02A,L,glutamate,-1,lh,lm,3608.2,3672.0,257.0,4876,0.74,5.6,3536.2,66.4,lh->lm,ipsilateral
IN03A001,800576,03A,L,acetylcholine,1,lh,lm,3555.9,3709.0,807.0,4978,0.714,7.1,3548.5,0.2,lh->lm,ipsilateral
IN07B006,800149,07B,R,acetylcholine,1,rm|lh|rf,lh|lm|lf,3469.4,4094.0,1320.0,4436,0.782,755.8,1152.5,1561.1,rm->lh rf->lh,both
INXXX025,800054,XXX (unassigned),L,acetylcholine,1,rh|lh,lm|lh|lf,3461.0,4110.0,653.0,5348,0.647,800.8,1196.6,1463.6,rh->lm rh->lh lh->lm,both
IN19A010,800860,19A,L,acetylcholine,1,lf,lm,3385.4,3449.0,1214.0,4078,0.83,0.1,3362.2,23.1,lf->lm,ipsilateral
IN12B002,800071,12B,R,gaba,-1,lh|rh,lm|lh|lf,3383.6,4200.0,83.0,9927,0.341,835.8,1283.6,1264.2,lh->lm rh->lm rh->lh,both
INXXX011,800267,XXX (unassigned),R,acetylcholine,1,rh|lh|rm,lh|rh,3377.7,5362.0,47.0,8101,0.417,2107.5,521.2,749.1,rh->lh lh->rh rm->lh,both
IN07B002,800398,07B,R,acetylcholine,1,lh|rh,lm|lf|rm|rh,3338.6,3936.0,662.0,5360,0.623,602.2,1404.4,1332.0,lh->lm lh->lf lh->rm,both
IN19A018,800525,19A,L,acetylcholine,1,lh,lm|lf,3316.1,3704.0,41.0,4607,0.72,28.5,3088.4,199.2,lh->lm lh->lf,ipsilateral
IN01A009,801067,01A,R,acetylcholine,1,lf,lm,3315.1,3686.0,185.0,4149,0.799,0.0,3315.1,0.0,lf->lm,ipsilateral
INXXX115,800697,XXX (unassigned),R,acetylcholine,1,rh,lh,3305.8,3926.0,312.0,4592,0.72,3024.1,28.3,253.3,rh->lh,contralateral
IN07B006,905415,07B,L,acetylcholine,1,lm|lf|rh,rh|rm,3255.2,3795.0,1228.0,4240,0.768,768.3,931.0,1556.0,lm->rh lm->rm lf->rh,both
IN12B002,800063,12B,R,gaba,-1,lm|rm|lh,lm|lh,3233.0,4653.0,153.0,10291,0.314,628.1,1809.4,795.5,lm->lh rm->lm rm->lh,both
INXXX003,800088,XXX (unassigned),R,gaba,-1,rf|lf,rm|lh|rh,3215.3,3541.0,106.0,6170,0.521,299.0,1586.5,1329.9,rf->rm rf->lh lf->rm,both
IN17A007,800283,17A,L,acetylcholine,1,lm,lh|lm,3214.8,5371.0,400.0,6386,0.503,75.6,2533.8,605.4,lm->lh lm->rh,ipsilateral
INXXX003,928274,XXX (unassigned),L,gaba,-1,lf|rf,lm|lh,3132.4,3503.0,138.0,6140,0.51,314.4,1664.5,1153.4,lf->lm lf->lh lf->rh,both
IN02A003,805169,02A,R,glutamate,-1,rh,rm,3072.2,3119.0,340.0,4091,0.751,0.4,3036.2,35.6,rh->rm,ipsilateral
IN08B001,903819,08B,R,acetylcholine,1,rf|rm,lm|lh|lf,3048.7,3164.0,783.0,5443,0.56,856.6,323.0,1869.1,rf->lm rf->lh rf->lf,both
IN19A012,800747,19A,L,acetylcholine,1,lf,lm,2997.7,3378.0,576.0,3853,0.778,24.7,2903.3,69.7,lf->lm,ipsilateral
IN03A009,801200,03A,L,acetylcholine,1,lm|lh,lh,2957.5,3630.0,12.0,3918,0.755,71.6,2527.5,358.4,lm->lh lm->rh,ipsilateral
IN12A001,800383,12A,L,acetylcholine,1,rm|lm,lm|lh,2950.6,4203.0,1353.0,4986,0.592,1198.9,935.7,816.0,rm->lm rm->lh lm->lh,both
IN01A009,800298,01A,L,acetylcholine,1,rm|rh,rh,2934.5,3513.0,62.0,3928,0.747,11.0,2862.5,61.0,rm->rh,ipsilateral
IN01A009,903487,01A,L,acetylcholine,1,rf,rm|rh,2929.7,3170.0,192.0,3605,0.813,0.7,2877.0,51.9,rf->rm rf->rh,ipsilateral
IN19A018,800529,19A,R,acetylcholine,1,rh,rm,2921.4,3303.0,20.0,3900,0.749,21.1,2659.9,240.4,rh->rm rh->rf,ipsilateral
IN01A009,800628,01A,R,acetylcholine,1,lm,lh,2912.1,3359.0,10.0,4070,0.715,13.7,2789.1,109.3,lm->lh,ipsilateral
IN19A019,800124,19A,L,acetylcholine,1,lh|lm,lm,2902.7,4721.0,277.0,5249,0.553,0.0,2902.7,0.0,lh->lm,ipsilateral
IN07B001,904587,07B,R,acetylcholine,1,rf|rm,lh|lm|rh,2899.7,2952.0,537.0,4099,0.707,317.0,736.5,1846.2,rf->lh rm->lh rf->lm,both
IN12B002,800246,12B,L,gaba,-1,lh|rh|rm,rm|rh,2895.0,3574.0,230.0,7528,0.385,711.3,1002.8,1180.9,lh->rm lh->rh rh->rm,both
IN19A010,805439,19A,R,acetylcholine,1,rm,rh,2893.4,2944.0,1526.0,3280,0.882,0.5,2846.4,46.5,rm->rh,ipsilateral
IN03A001,801421,03A,R,acetylcholine,1,rh,rm,2887.6,3056.0,735.0,3849,0.75,0.0,2887.6,0.0,rh->rm,ipsilateral
IN06B012,10581,06B,L,gaba,-1,lm|rm,lh|rh|lm,2884.1,3450.0,330.0,4805,0.6,551.7,1172.4,1160.1,,both
IN19A014,803501,19A,L,acetylcholine,1,lh|lm,lm,2861.9,3587.0,388.0,4328,0.661,78.9,2725.6,57.3,lh->lm,ipsilateral
IN10B004,800181,10B,R,acetylcholine,1,lh|lf|lm,lh,2842.5,4654.0,45.0,7243,0.392,125.8,2533.5,183.3,lf->lh lm->lh lh->lm,ipsilateral
IN03A009,801175,03A,L,acetylcholine,1,lf|lm,lm,2828.5,4553.0,28.0,4888,0.579,24.4,2757.8,46.3,lf->lm,ipsilateral
IN03A003,800021,03A,L,acetylcholine,1,lh,lm,2822.2,2962.0,187.0,6362,0.444,97.0,2584.3,140.9,lh->lm,ipsilateral
IN10B004,902553,10B,L,acetylcholine,1,rh|rm|rf,rh|rm,2810.1,4470.0,30.0,6327,0.444,89.5,2265.0,455.7,rm->rh rf->rh rh->rm,ipsilateral
IN07B104,800999,07B,R,glutamate,-1,rm,lm|lh,2798.4,2909.0,110.0,3746,0.747,1088.6,351.4,1358.4,rm->lm rm->lh,both
IN12A004,800472,12A,L,acetylcholine,1,lm,lh|rh|lm,2758.8,3583.0,69.0,5773,0.478,116.2,1931.1,711.5,lm->lh lm->rh,both
IN08B004,800503,08B,L,acetylcholine,1,lm|rm|lf,rm|rh,2749.7,3454.0,186.0,5180,0.531,807.5,780.9,1161.3,lm->rm lm->rh rm->rh,both
