bodyId,type,cls,sc,fam,entryNerve,rootSide,subclass,synonyms,leg,modality,modality_by,subtype,assigned_by,confidence,wiring_leg,wiring_share,wiring_seg_share,out_syn
10706,DNx01,unknown_sensory,sensory_descending,DNx,AN,L,,,,unknown,none,,not_leg:AN,high,lh,0.212,0.409,2576
11239,DNx01,unknown_sensory,sensory_descending,DNx,AN,R,,,,unknown,none,,not_leg:AN,high,rh,0.24,0.459,2534
13541,SAxx01,unknown_sensory,sensory_ascending,SAxx,AbN4,R,abdomen,,,unknown,none,,not_leg:AbN4,high,lh,0.441,0.755,579
14707,DNx02,unknown_sensory,sensory_descending,DNx,ON,R,,,,unknown,none,,not_leg:ON,high,lh,0.3,0.508,1212
15303,DNx02,unknown_sensory,sensory_descending,DNx,ON,R,,,,unknown,none,,not_leg:ON,high,lh,0.396,0.56,934
15430,DNx02,unknown_sensory,sensory_descending,DNx,ON,L,,,,unknown,none,,not_leg:ON,high,lh,0.382,0.541,1001
15569,DNx02,unknown_sensory,sensory_descending,DNx,ON,L,,,,unknown,none,,not_leg:ON,high,lh,0.327,0.464,1516
24427,SApp10,mechanosensory_proprioceptive,sensory_ascending,SApp,ADMN,R,campaniform sensilla,,,proprio,cls,campaniform,not_leg:ADMN,high,lh,0.339,0.51,347
28875,SApp10,mechanosensory_proprioceptive,sensory_ascending,SApp,ADMN,R,campaniform sensilla,,,proprio,cls,campaniform,not_leg:ADMN,high,lm,0.264,0.45,320
29510,SApp10,mechanosensory_proprioceptive,sensory_ascending,SApp,ADMN,R,campaniform sensilla,,,proprio,cls,campaniform,not_leg:ADMN,high,rh,0.345,0.628,301
30492,SAxx01,unknown_sensory,sensory_ascending,SAxx,AbN3,R,abdomen,,,unknown,none,,not_leg:AbN3,high,lh,0.54,0.767,260
31229,SApp10,mechanosensory_proprioceptive,sensory_ascending,SApp,ADMN,R,campaniform sensilla,,,proprio,cls,campaniform,not_leg:ADMN,high,rh,0.407,0.619,358
32502,SApp10,mechanosensory_proprioceptive,sensory_ascending,SApp,ADMN,R,campaniform sensilla,,,proprio,cls,campaniform,not_leg:ADMN,high,lh,0.379,0.746,359
34432,SApp10,mechanosensory_proprioceptive,sensory_ascending,SApp,ADMN,R,campaniform sensilla,,,proprio,cls,campaniform,not_leg:ADMN,high,lh,0.286,0.528,750
34735,SApp10,mechanosensory_proprioceptive,sensory_ascending,SApp,ADMN,R,campaniform sensilla,,,proprio,cls,campaniform,not_leg:ADMN,high,lm,0.302,0.502,327
36095,SApp14,mechanosensory_proprioceptive,sensory_ascending,SApp,ADMN,R,campaniform sensilla,,,proprio,cls,campaniform,not_leg:ADMN,high,rm,0.3,0.421,362
36718,"SApp09,SApp22",mechanosensory_proprioceptive,sensory_ascending,SApp,DMetaN,R,campaniform sensilla,,,proprio,cls,campaniform,not_leg:DMetaN,high,lh,0.574,0.574,33
36812,LgAG6,gustatory,sensory_ascending,LgAG,ProLN,R,leg bristle,,rf,gustatory,cls,,annotated,high,,0.0,0.0,138
38712,SApp14,mechanosensory_proprioceptive,sensory_ascending,SApp,ADMN,L,campaniform sensilla,,,proprio,cls,campaniform,not_leg:ADMN,high,lh,0.327,0.5,791
39291,SApp10,mechanosensory_proprioceptive,sensory_ascending,SApp,ADMN,L,campaniform sensilla,,,proprio,cls,campaniform,not_leg:ADMN,high,lh,0.34,0.532,800
40428,SApp10,mechanosensory_proprioceptive,sensory_ascending,SApp,ADMN,L,campaniform sensilla,,,proprio,cls,campaniform,not_leg:ADMN,high,lh,0.449,0.678,581
40743,LN-DN1,unknown_sensory,sensory_descending,LN-DN1,MxLbN,L,,,,unknown,none,,not_leg:MxLbN,high,lf,0.329,0.369,824
41311,"SApp11,SApp18",mechanosensory_proprioceptive,sensory_ascending,SApp,ADMN,R,campaniform sensilla,,,proprio,cls,campaniform,not_leg:ADMN,high,rm,0.355,0.522,217
41670,"SApp09,SApp22",mechanosensory_proprioceptive,sensory_ascending,SApp,DMetaN,R,campaniform sensilla,,,proprio,cls,campaniform,not_leg:DMetaN,high,lh,0.587,0.741,66
41779,SApp04,mechanosensory_proprioceptive,sensory_ascending,SApp,ADMN,R,campaniform sensilla,,,proprio,cls,campaniform,not_leg:ADMN,high,rh,0.416,0.718,896
42837,SApp14,mechanosensory_proprioceptive,sensory_ascending,SApp,ADMN,R,campaniform sensilla,,,proprio,cls,campaniform,not_leg:ADMN,high,rm,0.29,0.436,336
42875,SApp10,mechanosensory_proprioceptive,sensory_ascending,SApp,ADMN,R,campaniform sensilla,,,proprio,cls,campaniform,not_leg:ADMN,high,lm,0.268,0.444,651
43041,SApp10,mechanosensory_proprioceptive,sensory_ascending,SApp,ADMN,R,campaniform sensilla,,,proprio,cls,campaniform,not_leg:ADMN,high,rh,0.546,0.83,361
43559,"SApp09,SApp22",mechanosensory_proprioceptive,sensory_ascending,SApp,DMetaN,R,campaniform sensilla,,,proprio,cls,campaniform,not_leg:DMetaN,high,lh,0.684,0.882,103
45097,SApp21,mechanosensory_proprioceptive,sensory_ascending,SApp,ADMN,L,campaniform sensilla,,,proprio,cls,campaniform,not_leg:ADMN,high,rh,0.405,0.651,237
45591,SAxx02,unknown_sensory,sensory_ascending,SAxx,MetaLN,L,leg,,lh,unknown,none,,annotated,high,lh,0.577,0.699,1670
45836,"SApp11,SApp18",mechanosensory_proprioceptive,sensory_ascending,SApp,ADMN,L,campaniform sensilla,,,proprio,cls,campaniform,not_leg:ADMN,high,lm,0.319,0.484,454
