[2026-09-17 03:59:59] network_view:122 Initialized network view at /home/nate/code/fly-afterlife/flyvis_data/results/flow/0000/000
[2026-09-17 03:59:59] logging_utils:23 epe not in /home/nate/code/fly-afterlife/flyvis_data/results/flow/0000/000/validation, but 'loss' is. Falling back to 'loss'. You can rerun the ensemble validation to make appropriate recordings of the losses.
[2026-09-17 04:00:10] network:222 Initialized network with NumberOfParams(free=734, fixed=2959) parameters.
[2026-09-17 04:00:10] chkpt_utils:36 Recovered network state.
her readouts: pC1 10, vpoEN 4, ORN_DA1 126, JO 1104, DNa02 1/1
his readouts: pC1 156, pIP10 2, mAL 159, LC10a 275, ORN_VA1v 15/73
his DNa02 rest offset -0.15/chunk
pace baselines per chunk: his leg MN 429, her DN 44
t=  5.0s  him (-0.80,-0.02)     -7  her (+0.45,+0.26)  dist 1.28  pC1 0 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.08 her 0.15 m/s  (40s)
t= 10.0s  him (-0.69,-0.41)   -119  her (-0.25,+0.01)  dist 0.62  pC1 0 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.11 her 0.15 m/s  (82s)
t= 15.0s  him (-0.99,-0.92)   -167  her (-0.41,-0.68)  dist 0.62  pC1 0 pIP10 2 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.12 her 0.15 m/s  (128s)
t= 20.0s  him (-1.45,-0.51)   -235  her (-0.04,-1.31)  dist 1.62  pC1 0 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.13 her 0.15 m/s  (171s)
t= 25.0s  him (-1.79,+0.00)   -245  her (+0.41,-1.91)  dist 2.92  pC1 0 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.12 her 0.15 m/s  (217s)
t= 30.0s  him (-1.91,+0.52)   +367  her (+0.88,-1.51)  dist 3.45  pC1 0 pIP10 1 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.12 her 0.15 m/s  (257s)
t= 35.0s  him (-1.33,+0.62)   +363  her (+1.18,-0.84)  dist 2.90  pC1 0 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.12 her 0.15 m/s  (287s)
t= 40.0s  him (-0.95,+0.60)   +350  her (+1.23,-0.09)  dist 2.29  pC1 0 pIP10 1 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.07 her 0.15 m/s  (317s)
t= 45.0s  him (-1.09,+0.17)   +232  her (+1.23,+0.66)  dist 2.37  pC1 0 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.12 her 0.15 m/s  (345s)
t= 50.0s  him (-1.57,-0.23)   +181  her (+0.86,+1.28)  dist 2.86  pC1 0 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.13 her 0.15 m/s  (374s)
t= 55.0s  him (-1.88,-0.03)    -63  her (+0.25,+1.72)  dist 2.75  pC1 0 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.13 her 0.15 m/s  (404s)
t= 60.0s  him (-1.85,-0.45)   +235  her (-0.40,+1.93)  dist 2.79  pC1 0 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.12 her 0.15 m/s  (433s)
t= 65.0s  him (-1.61,-0.29)    +20  her (-1.14,+1.83)  dist 2.17  pC1 0 pIP10 1 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.12 her 0.15 m/s  (461s)
t= 70.0s  him (-1.11,-0.14)     -3  her (-1.88,+1.90)  dist 2.19  pC1 0 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.10 her 0.15 m/s  (490s)
t= 75.0s  him (-1.36,-0.57)   -148  her (-1.46,+1.73)  dist 2.30  pC1 0 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.13 her 0.15 m/s  (520s)
